name,full_name,id,symbol
Ulusoy Un,Ulusoy Un Sanayi ve Ticaret AS,942791,ULUUN
Ulusoy Elektrik,Ulusoy Elektrik Imalat Taahhut ve Ticaret AS,942792,ULUSE
Hedef Girisim,HEDEF Girisim Sermayesi Yatirim Ortakligi AS,945159,HDFGS
Ozerden Plastik,Ozerden Plastik Sanayi ve Ticaret AS,945716,OZRDN
Politeknik Metal,Politeknik Metal Sanayi ve Ticaret AS,950050,POLTK
Say Reklamcilik,Say Reklamcilik Yapi Dekorasyon Proje Taahhut Sanayi ve Ticaret AS,950051,SAYAS
Bantas Bandirma,Bantas Bandirma Ambalaj Sanayi ve Ticaret AS,953595,BNTAS
Seyitler Kimya,Seyitler Kimya Sanayi AS,958340,SEYKM
Verusaturk,Verusaturk Girisim Sermayesi Yatirim Ortakligi AS,961704,VERTU
Cuhadaroglu,Cuhadaroglu Metal Sanayi ve Pazarlama AS,963743,CUSAN
Iskenderun,Iskenderun Demir ve Celik AS,976217,ISDMR
Izmir Firca,Izmir Firca Sanayi ve Ticaret AS,993681,IZFAS
Mistral GYO,Mistral Gayrimenkul Yatirim Ortakligi AS,997134,MSGYO
Fonet Bilgi,Fonet Bilgi Teknolojileri AS,1010701,FONET
Mavi Giyim Sanayi,Mavi Giyim Sanayi Ve Ticaret AS,1013385,MAVI
Safkar Ege Sogutmacilik,Safkar Ege Sogutmacilik Klima Soguk Hava Tesisleri Ihracat Ithalat Sanayi ve Tic,1058448,SAFKR
Trabzon Liman Isletmeciligi,Trabzon Liman Isletmeciligi AS,1061403,TLMAN
Enerjisa Enerji,Enerjisa Enerji AS,1062273,ENJSA
MLP Saglik,MLP Saglik Hizmetleri AS,1062839,MPARK
Peker Gayrimenkul Yatirim Ortakligi,Peker Gayrimenkul Yatirim Ortakligi AS,1066607,PEKGY
Trend Gayrimenkul Yatirim Ortakligi,Trend Gayrimenkul Yatirim Ortakligi AS,1066608,TDGYO
Sok Marketler,Sok Marketler,1076665,SOKM
Kafein Yazilim,Kafein Yazilim,1076877,KFEIN
